data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#event+id,#country+code,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
6329921,4,AFG27676,27676,2019-11-02,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Civilians (Afghanistan),Students (Afghanistan),7,27,Southern Asia,Afghanistan,Takhar,Darqad,,Darqad,37.3841,69.4529,2,AFP; Khaama Press,National-International,"On 02 November 2019, 9 children were killed and 1 was wounded while they were walking to school as they stepped on a Taliban-planted landmine in the Tahiraha village of Darqad district, Takhar.",9,1572904622,AFG
6330384,422,LBN2043,2043,2019-11-02,2019,2,Protests,Peaceful protest,Protesters (Lebanon),Students (Lebanon),6,,,0,60,Middle East,Lebanon,Beirut,Beirut,,Beirut,33.8889,35.4944,1,Daily Star (Lebanon),National,"As reported on November 2 2019, a number of students of the American University of Beirut, demonstrated outside the University's main entrance, against it's re-opening. [size=no report]",0,1572904622,LBN
6331219,434,LBY8836,8836,2019-11-02,2019,1,Protests,Peaceful protest,Protesters (Libya),LGUT: Libyan General Teachers Union; Teachers (Libya),6,,,0,60,Northern Africa,Libya,South,Sebha,,Sabha,27.0377,14.4283,1,Libya 24,National,"On 2 November, 2019, teachers of Sabha Teachers Union, continued their sit-in by closing all schools in Sabha City, Sebha, until all their demands are met, including salary raise. [size=no report]",0,1572909431,LBY
6331267,450,MAG1374,1374,2019-11-02,2019,2,Strategic developments,Looting/property destruction,Dahalo Militia,,3,Civilians (Madagascar),,7,37,Eastern Africa,Madagascar,Amoron I Mania,Ambatofinandrahana,,Ikatelo,-20.3417,46.9589,1,News Mada,National,"Around Nov 2nd 2019 (exact date not reported), in Ikatelo, a primary school was set on fire allegedly by Dahalo militias. Motives of the attack are unknown. No fatalities reported.",0,1572909431,MDG
6331442,566,NIG15614,15614,2019-11-02,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),APC: All Progressives Congress,7,37,Western Africa,Nigeria,Edo,Etsako East,,Iyahmo,7.2203,6.3375,2,Vanguard (Nigeria),National,"02 November. Unidentified gunmen attacked a gathering of the Oba of Lagos, the chancellor of Edo University and the Edo State Governor at the premises of the former APC Edo State Chairman close to Edo State University (exact location not reported, coded as Iyahmo). Cars were damaged.",0,1572909431,NGA
6331735,524,NEP6994,6994,2019-11-02,2019,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),6,,,0,60,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Kantipur; Nagarik,National,"On November 2, students continued their demonstrations by staging a sit-in in front of the Universal College of Medical Sciences in Bhairahawa city (Rupandehi district, Lumbini), against the administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962843,NPL
6331839,356,IND64941,64941,2019-11-02,2019,1,Protests,Peaceful protest,Protesters (India),,6,,,0,60,Southern Asia,India,Jammu and Kashmir,Srinagar,Srinagar North,Srinagar,34.0857,74.8056,1,Daily Excelsior,Subnational,"On 2 Nov, a score of parents staged a protest in Srinagar city (J&K), against private schools demanding transport charges during the time since the August lockdown began. [size=score]",0,1572962844,IND
6332926,196,CYP274,274,2019-11-02,2019,1,Protests,Peaceful protest,Protesters (Cyprus),,6,,,0,60,Europe,Cyprus,Limassol,,,Episkopi,34.6704,32.9018,1,Philenews,National,"On 2 November, about 100 parents of children with speech disabilities rallied outside the Episkopi police station in solidarity with a father that had to report to the police because his child was not attending school due to the lack of support staff. [size=about 100]",0,1572984868,CYP
6329712,760,SYR69525,69525,2019-11-01,2019,1,Strategic developments,Arrests,Military Forces of Syria (2000-),,1,Civilians (Syria),Women (Syria),7,17,Middle East,Syria,Dar'a,Dar'a,Kherbet Ghazala,Kherbet Ghazala,32.7345,36.2033,1,SOHR,Other,"Arrests: On 1 November, 2019, regime forces manning a checkpoint in Kherbet Ghazala in Dar'a arrested a female university student.",0,1572903676,SYR
6331063,788,TUN5864,5864,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (Tunisia),,6,,,0,60,Northern Africa,Tunisia,Kairouan,El Ouslatia,,Ain Jaloulah,35.7997,9.8048,1,Al Chourouk,National,"On 1 November 2019, in Ain Jaloulah, residents organized a protest to denounce the delays in the construction of the high school perimeter fence.[size=no report]",0,1572909430,TUN
6331365,748,SWA218,218,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (eSwatini),Students (eSwatini),5,,,0,50,Southern Africa,eSwatini,Manzini,Manzini North,,Manzini,-26.4833,31.3667,1,Swazi Observer,National,"01 November 2019. Students demonstrated at the Southern African Nazarene University (SANU), Manzini, protested their allowances not being paid since August. School property has been damaged and forced non-demonstrating students out of classes. One demonstrator has been injured by a non-demonstrating student. [size=no report].",0,1572909431,SWZ
6331434,800,UGA5726,5726,2019-11-01,2019,1,Protests,Protest with intervention,Protesters (Uganda),Students (Uganda),6,Police Forces of Uganda (1986-),,1,16,Eastern Africa,Uganda,Gulu,Gulu Municipality,Laroo,Gulu University,2.7882,32.3168,1,URN (Uganda),National,"On November 1st, police arrested student demonstrators at Gulu University (Gulu district) who were protesting in solidarity with collegues at Makerere University. [size=70]",0,1572909431,UGA
6331761,356,IND64958,64958,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (India),Students (India),6,,,0,60,Southern Asia,India,Andaman and Nicobar,South Andaman,Port Blair,Port Blair,11.6661,92.7463,1,Andaman Sheekha,Subnational,"On 1 November, students of Port-Mout School held a protest in front of their school in Port Blair city (South Andaman, Andaman and Nicobar) demanding teachers for Hindi and History subjects. [size=no report]",0,1572962844,IND
6331775,356,IND64992,64992,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (India),Labour Group (India),5,Police Forces of India (2014-),,1,15,Southern Asia,India,Assam,Nagaon,Nagaon,Nagaon,26.3469,92.6851,1,Assam Tribune,Subnational,"On 1 November, thousands of cooks and their helpers of various government schools of Nagoan district clashed with the police during a demonstration on the Nagaon-Laokhowa road on the outskirts of Nagoan city (Nagaon, Assam) against the Assam government's decision to handover the mid-day meal scheme to a private organisation. [size=thousands]",0,1572962844,IND
6331948,356,IND64929,64929,2019-11-01,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Kumdalan,33.7200,74.8923,1,Early Times (India),Subnational,"On 1 Nov, suspected militants burnt down a school at Kumdalan village (Shopian, J&K), a day ahead of board examinations.",0,1572962844,IND
6332000,144,SRI3813,3813,2019-11-01,2019,1,Protests,Peaceful protest,Protesters (Sri Lanka),,6,,,0,60,Southern Asia,Sri Lanka,Central,Matale,Dambulla,Dambulla,7.8600,80.6517,1,Lankadeepa,National,"On November 1, a group of parents staged a protest in front of a school in Dambulla town (Dambulla, Matale district). The parents were demanding the removal of seven teachers who allegedly encouraged the students to not complain to the police about a school teacher involved in the abduction of two students. [size=no report]",0,1572962844,LKA
6332013,524,NEP6982,6982,2019-11-01,2019,1,Riots,Mob violence,Rioters (Nepal),Teachers (Nepal),5,Civilians (Nepal),Students (Nepal),7,57,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Naya Patrika,National,"On November 1, the college administration of Universal College of Medical Sciences locked students in a hostel in Bhairahawa city (Rupandehi district, Lumbini), to prevent them from voicing against the college administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962844,NPL
6332014,524,NEP7002,7002,2019-11-01,2019,1,Protests,Protest with intervention,Protesters (Nepal),Students (Nepal),6,Police Forces of Nepal (2015-),,1,16,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Naya Patrika,National,"On November 1, police beat up the protesting students of Universal College of Medical Sciences in Bhairahawa city (Rupandehi district, Lumbini). The students were demonstrating against the college administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962844,NPL
6327650,887,YEM44227,44227,2019-10-31,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,17,Middle East,Yemen,Taizz,Hayfan,,Wadi al Adhir,13.2198,44.3005,2,Aden al Ghad,National,"On Oct 31, pro-Houthi forces reportedly shelled Adhir area in Hayfan district, injuring 2 children on their way back from school.",0,1572887467,YEM
6331207,504,MOR2261,2261,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Morocco),Students (Morocco),6,,,0,60,Northern Africa,Morocco,Rabat - Sale - Kenitra,Rabat,NA (Agdal Riyad),Rabat,34.0133,-6.8326,1,Lakome,National,"On 31 October 2019, in Rabat, students at the Economy and Science faculty protested in front of the parliament to denounce the Ministery of education's decision not to grant them access to highly qualified schools. [size=no reports]",0,1572909431,MAR
6332001,144,SRI3812,3812,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Sri Lanka),IUSF: Inter University Students' Federation; Students (Sri Lanka),6,,,0,60,Southern Asia,Sri Lanka,Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,Morning (Sri Lanka),National,"On October 31, Inter University Students' Federation (IUSF) staged a protest in front of the Fort Railway Station in Colombo city (Colombo, Colombo district). The protesters were demanding that authorities reinstate scholarships of students belonging to Ruhuna Students' Federation. [size=no report]",0,1572962844,LKA
6332015,524,NEP6989,6989,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Nepal),Students (Nepal),6,,,0,60,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Naya Patrika,National,"On October 31, students of Universal College of Medical Sciences demonstrated by holding a protest rally and assembly in Bhairahawa city (Rupandehi district, Lumbini), against the administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962844,NPL
6332021,50,BGD16856,16856,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Bangladesh),Teachers (Bangladesh),6,,,0,60,Southern Asia,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.3740,88.6011,1,New Age (Bangladesh),National,"On Oct 31, more than twenty teachers of Rajshahi University Progressive Teachers' Society formed a human chain on campus (Rajshahi) demanding removal of VC for his alleged involvement in teachers recruitment. The protest entered sixth consecutive day. [size=more than 20]",0,1572962844,BGD
6332051,586,PAK54209,54209,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Sindh,Khairpur,Khairpur,Khairpur,27.5271,68.7452,1,Pakistan Press International,National,"On October 31, Students Action Committee, Shah Abdul Latif University (SALU), held a protest rally culminating at Khairpur Press Club in Khairpur city (Khairpur, Sindh) against the university administration for failing to address student issues such as scarcity of books in the library, poor drainage system, and shortage of buses. [size=no report]",0,1572962844,PAK
6332055,586,PAK54219,54219,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Pakistan),YDA: Young Doctors Association; Health Workers (Pakistan),6,,,0,60,Southern Asia,Pakistan,Sindh,Karachi City,Karachi-Cantonment,Karachi-Cantonment,24.8546,67.0434,1,Pakistan Press International,National,"On October 31, members of YDA Sindh Chapter including YDAs from Dr Ruth Pfau Civil Hospital Karachi (CHK), National Institute of Child Health (NICH), Abbasi Shaheed Hospital (ASH), Sindh Government Lyari General Hospital and others held a march and protested at Jinnah Sindh Medical College in Cantonment town (Karachi, Sindh) against newly formed Pakistan Medical Commission (PMC) and demanded restoration of Pakistan Medical and Dental Council (PMDC). [size=no report]",0,1572962844,PAK
6332487,196,CYP272,272,2019-10-31,2019,1,Protests,Peaceful protest,Protesters (Cyprus),KTOEOS: Cyprus Turkish Secondary School Teachers Union; Teachers (Cyprus),6,,,0,60,Europe,Cyprus,Kyrenia,,,Lapithos,35.3409,33.1753,1,Ekathimerini; Philenews,National-Regional,"On 31 October, teachers in Lapithos (Lapta) in Northern Cyprus refused to enter their classrooms to protest against the appointment of a teacher wearing a hijab at school. The chairwoman of KTOEOS said the issue was not about the dress code, but with attempts by Turkey to impose 'political Islam' onto the Turkish Cypriot community. [size=no report]",0,1572984853,CYP
6332490,300,GRC1102,1102,2019-10-31,2019,1,Riots,Violent demonstration,Rioters (Greece),Students (Greece); Student Struggle Front,5,Police Forces of Greece (2019-) Units for the Reinstatement of Order,,1,15,Europe,Greece,Attica,Athens,Central Athens,Athens-Central Athens,37.9685,23.7585,1,To Vima; AMNA,National,"On 31 October, members of the Student Struggle Front and 78 other student associations from all over Greece demonstrated in separate marches in central Athens over education reforms and the abolition of the university asylum law. There were clashes with police outside parliament. Police used tear gas and stun grenades. [size=no report]",0,1572984856,GRC
6327780,887,YEM44189,44189,2019-10-30,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Yemen),,3,,,0,30,Middle East,Yemen,Dhamar,Dhamar City,,Dhamar University,14.5794,44.3789,1,Khabar News Agency (Yemen),National,"On October 30, a booby-trapped car of unknown origin reportedly exploded outside Dhamar University in Dhamar governorate as a graduation ceremony attended by a number of prominent pro-Houthi leaders was taking place, with no report of fatalities nor injuries.",0,1572887467,YEM
6330425,400,JOR485,485,2019-10-30,2019,1,Protests,Peaceful protest,Protesters (Jordan),Students (Jordan),6,,,0,60,Middle East,Jordan,Amman,Qasabat Amman,,Amman,31.9552,35.9450,1,Jordan Times,National,"On October 30 2019, about 60 University students gathered at the Middle East University in Amman, to start their 300 km long Climate March which will lead them from Amman, to Madaba, Wadi Al Mujib, Karak, Maan and then to Aqaba. [size=about 60]",0,1572904622,JOR
6331010,434,LBY8816,8816,2019-10-30,2019,1,Explosions/Remote violence,Air/drone strike,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,11,Northern Africa,Libya,West,Misrata,,Misratah,32.3754,15.0925,1,Libya24; Al Wasat (Libya); Libya EN; Akhbar Libya,Other-National,"On October 30, LNA reportedly conducted multiple strikes against GNA military targets in Misratah including Misrata Air College, no casualties reported.",0,1572909430,LBY
6331090,404,KEN7030,7030,2019-10-30,2019,1,Protests,Protest with intervention,Protesters (Kenya),Students (Kenya),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Embu,Manyatta,Kirimari,Embu,-0.5333,37.4500,1,Citizen (Kenya),National,"On Oct 30th 2019, Embu University Students staged a protest over proposed fees. The road in front of the school was blocked. Police fired tear gas to disperse the crowd. [size=no report]",0,1572909431,KEN
6331162,854,BFO2114,2114,2019-10-30,2019,1,Protests,Peaceful protest,Protesters (Burkina Faso),Health Workers (Burkina Faso); Labour Group (Burkina Faso),6,,,0,60,Western Africa,Burkina Faso,Nord,Yatenga,Ouahigouya,Ouahigouya,13.5828,-2.4216,1,Faso Nord,Subnational,"On October 30, health workers and unionists continued observing a sit-in at the University Hospital of Ouahigouya.[size=dozens]",0,1572909431,BFA
6331841,50,BGD16854,16854,2019-10-30,2019,1,Protests,Protest with intervention,Protesters (Bangladesh),Students (Bangladesh),6,Rioters (Bangladesh),Teachers (Bangladesh); Students (Bangladesh),5,56,Southern Asia,Bangladesh,Dhaka,Dhaka,Savar,Savar,23.8486,90.2500,1,Daily Observer (Bangladesh),National,"On Oct 30, a teacher and few students of Jahangirnagar university allegedly assaulted protesting students demanding VC's resignation on campus (Savar). [size=few]",0,1572962844,BGD
6331895,586,PAK54261,54261,2019-10-30,2019,1,Protests,Protest with intervention,Protesters (Pakistan),Students (Pakistan),6,Police Forces of Pakistan (2018-),,1,16,Southern Asia,Pakistan,Sindh,Shaheed Benazirabad,Nawabshah,Nawabshah,26.2483,68.4095,1,Dawn (Pakistan),National,"On October 30, police fired tear gas and baton charged students of Shaheed Benazir Bhutto University (SBBU) who were protesting on the main Sakrand Road in Nawabshah city (Shaheed Benazirabad, Sindh) against the university administration demanding reduction of hostel fees. At least 17 students were injured in the incident. [size=at least 17]",0,1572962844,PAK
6332020,50,BGD16852,16852,2019-10-30,2019,1,Protests,Peaceful protest,Protesters (Bangladesh),Students (Bangladesh),6,,,0,60,Southern Asia,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.3740,88.6011,1,New Age (Bangladesh),National,"On Oct 30, students of Rajshahi university staged a protest demonstration on Dhaka-Rajshahi highway (Rajshahi) against the decision of ICC to ban Bangladesh cricket captain on corruption charges. [size=no report]",0,1572962844,BGD
6332037,356,IND65168,65168,2019-10-30,2019,1,Protests,Peaceful protest,Protesters (India),Teachers (India),6,,,0,60,Southern Asia,India,Meghalaya,East Khasi Hills,Shillong,Shillong,25.5793,91.8942,1,Northeast Today,Subnational,"On 30 October, the North-Eastern Hill University Teachers' Association (NEHUTA) today organized a silent protest in Shillong (East Khasi Hills, Meghalaya) to express their resentment against Vice Chancellor, S.K. Srivastava and his failure to address issues concerning the teaching fraternity of the university. [size=no report]",0,1572962844,IND
6332060,586,PAK54208,54208,2019-10-30,2019,1,Protests,Peaceful protest,Protesters (Pakistan),Students (Pakistan),6,,,0,60,Southern Asia,Pakistan,Balochistan,Quetta,Quetta City,Quetta,30.1999,67.0097,1,Pakistan Today,National,"On October 30, students organizations along with human rights advocates and many students held a protest at University of Balochistan in Quetta city (Quetta, Balochistan) against the university authorities demanding comprehensive investigations into alleged harassment and blackmailing of students using videos recorded with hidden cameras inside the campus. The protesters also demanded the removal of the Frontier Corps check posts from the university as well as restoration of student unions. [size=many]",0,1572962844,PAK
