month,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
#date+month,#event+id,,#event+code,#event+code,#date+occurred,#date+year,#meta+time_precision,#event+type,#event+subtype,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,#geo+precision+code,#meta+source,,#description,#affected+killed,#date+updated,#country+code
2019-11,6329921,4,AFG27676,27676,2019-11-02,2019,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Civilians (Afghanistan),Students (Afghanistan),7,27,Southern Asia,Afghanistan,Takhar,Darqad,,Darqad,37.3841,69.4529,2,AFP; Khaama Press,National-International,"On 02 November 2019, 9 children were killed and 1 was wounded while they were walking to school as they stepped on a Taliban-planted landmine in the Tahiraha village of Darqad district, Takhar.",9,1572904622,AFG
2019-11,6331267,450,MAG1374,1374,2019-11-02,2019,2,Strategic developments,Looting/property destruction,Dahalo Militia,,3,Civilians (Madagascar),,7,37,Eastern Africa,Madagascar,Amoron I Mania,Ambatofinandrahana,,Ikatelo,-20.3417,46.9589,1,News Mada,National,"Around Nov 2nd 2019 (exact date not reported), in Ikatelo, a primary school was set on fire allegedly by Dahalo militias. Motives of the attack are unknown. No fatalities reported.",0,1572909431,MDG
2019-11,6331442,566,NIG15614,15614,2019-11-02,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),APC: All Progressives Congress,7,37,Western Africa,Nigeria,Edo,Etsako East,,Iyahmo,7.2203,6.3375,2,Vanguard (Nigeria),National,"02 November. Unidentified gunmen attacked a gathering of the Oba of Lagos, the chancellor of Edo University and the Edo State Governor at the premises of the former APC Edo State Chairman close to Edo State University (exact location not reported, coded as Iyahmo). Cars were damaged.",0,1572909431,NGA
2019-11,6329712,760,SYR69525,69525,2019-11-01,2019,1,Strategic developments,Arrests,Military Forces of Syria (2000-),,1,Civilians (Syria),Women (Syria),7,17,Middle East,Syria,Dar'a,Dar'a,Kherbet Ghazala,Kherbet Ghazala,32.7345,36.2033,1,SOHR,Other,"Arrests: On 1 November, 2019, regime forces manning a checkpoint in Kherbet Ghazala in Dar'a arrested a female university student.",0,1572903676,SYR
2019-11,6331365,748,SWA218,218,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (eSwatini),Students (eSwatini),5,,,0,50,Southern Africa,eSwatini,Manzini,Manzini North,,Manzini,-26.4833,31.3667,1,Swazi Observer,National,"01 November 2019. Students demonstrated at the Southern African Nazarene University (SANU), Manzini, protested their allowances not being paid since August. School property has been damaged and forced non-demonstrating students out of classes. One demonstrator has been injured by a non-demonstrating student. [size=no report].",0,1572909431,SWZ
2019-11,6331775,356,IND64992,64992,2019-11-01,2019,1,Riots,Violent demonstration,Rioters (India),Labour Group (India),5,Police Forces of India (2014-),,1,15,Southern Asia,India,Assam,Nagaon,Nagaon,Nagaon,26.3469,92.6851,1,Assam Tribune,Subnational,"On 1 November, thousands of cooks and their helpers of various government schools of Nagoan district clashed with the police during a demonstration on the Nagaon-Laokhowa road on the outskirts of Nagoan city (Nagaon, Assam) against the Assam government's decision to handover the mid-day meal scheme to a private organisation. [size=thousands]",0,1572962844,IND
2019-11,6331948,356,IND64929,64929,2019-11-01,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (India),,3,Civilians (India),,7,37,Southern Asia,India,Jammu and Kashmir,Shopian,Shopian,Kumdalan,33.7200,74.8923,1,Early Times (India),Subnational,"On 1 Nov, suspected militants burnt down a school at Kumdalan village (Shopian, J&K), a day ahead of board examinations.",0,1572962844,IND
2019-11,6332013,524,NEP6982,6982,2019-11-01,2019,1,Riots,Mob violence,Rioters (Nepal),Teachers (Nepal),5,Civilians (Nepal),Students (Nepal),7,57,Southern Asia,Nepal,West,Lumbini,Rupandehi,Siddharthanagar,27.5000,83.4500,1,Naya Patrika,National,"On November 1, the college administration of Universal College of Medical Sciences locked students in a hostel in Bhairahawa city (Rupandehi district, Lumbini), to prevent them from voicing against the college administration for charging higher tuition fees than the government set amount. [size=no report]",0,1572962844,NPL
2019-10,6327650,887,YEM44227,44227,2019-10-31,2019,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,17,Middle East,Yemen,Taizz,Hayfan,,Wadi al Adhir,13.2198,44.3005,2,Aden al Ghad,National,"On Oct 31, pro-Houthi forces reportedly shelled Adhir area in Hayfan district, injuring 2 children on their way back from school.",0,1572887467,YEM
